id;codigo;codigo_barra;nome;nome_resumido;grupo_produto_id;fornecedor_id;tipo;subtipo;tipo_combustivel;preco_unit;preco_prazo;unid_med;iat;ippt;tributacao;codigo_ncm;codigo_nbs;cst_pis;aliquota_pis;cst_cofins;aliquota_cofins;natureza_receita;cst_ipi_saida;cst_ipi_entrada;aliquota_ipi;custo_subst;uso_consumo;controlar_estoque;estoque_negativo;destaque_subst;exporta_inforlub;exporta_exchange_orcamento;codigo_cpbr;solicitacao_cpbr;situacao_cpbr;integrado_cpbr;saldo;codigo_anp;classificacao_fiscal;tipo_servico;favorito;sigla;paf_hash;permite_venda;permite_comissao;cest;venda_ler_vendedor;combo_variavel;customizavel;escala;fabricante_cnpj;fabricante_benef;sem_gtin;perc_glp;perc_gnv_nacional;perc_gnv_importado;valor_partida;unid_med_trib;fator_conversao_trib;codigo_nutricional;fabricado_venda;aplicacao;info;km_trocar;grupo_id;subgrupo_id;marca;desconto_percentual;ad_rem;ref_zedelivery;p_biocombustivel;p_origem;indicador_importacao;codigo_uf_origem;setor_id;imprime_ficha;observacao;alto_em_acucar_adicionado;alto_em_gordura_saturada;alto_em_sodio;hash
5204;78905498;78905498;CERV HEINEKEN GF 600ML;CV HEINEKEN 600ML;752;;2;2;;16;16;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;14483;;;1;0;;;;0;;V001B41B8F2F9B97E5266F04124548980738B6;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;6027;f;;;;;752;;0;0;;0;100;0;;2;f;;f;f;f;
4670;7898605251827;7898605251827;CERV COLORADO RIBEIRAO LAGER GF 600ML;CERV COL RIBEIRAO LAGER 600ML;752;;2;2;;12.99;12.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1049825;;;1;0;;;;0;;V001B84AA5CBD9121120471238C7667C640DC8;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;5323;f;;;;;752;;0;0;;0;100;0;;2;f;;f;f;f;
6006;7898230716708;7898230716708;CERV BADEN BADEN PURO MALTE GF 300ML;CERV BADEN BADEN PUR MAL 300ML;752;;2;2;;11.39;11.39;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1090637;;;1;0;;;;0;;V00173C12845131B11DC1E3C2C122E32049569;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;7081;f;;;;;752;;0;0;;0;100;0;;2;f;;f;f;f;
2732;78905351;78905351;CERV ANTARCTICA ORIGINAL GF 600ML;CERV ANTARCTICA ORIG 600ML;752;;2;2;;12.9;12.9;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;43790;;;1;0;;;;0;;V0013812CED13DB0825F174901D0F888CE0D12;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;2999;f;;;;;752;;0;0;;0;100;0;;2;f;;f;f;f;
7081;7898915949957;7898915949957;CERV IMPERIO ULTRA PURO MALTE GF 275ML;CERV IMPERIO ULT PUR MAL 275ML;752;;2;2;;6.49;6.49;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1097988;;;1;0;;;;0;;V00179F5BD770EA873B3E25C920DF6442514CC;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;10218;f;;;;;752;;0;0;;0;100;0;;2;f;;f;f;f;
6005;7896045506415;7896045506415;CERV AMSTEL ULTRA LT 269ML;CERV AMSTEL ULTRA 269ML;752;;2;2;;4.19;4.19;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1084837;;;1;0;;;;0;;V0017540E3B15BE48A032622BF2B5EB653E8E8;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;7080;f;;;;;752;;0;0;;0;100;0;;2;f;;f;f;f;
6691;7891991304986;7891991304986;CERV BUDWEISER GF 300ML;CERV BUDWEISER 300ML;752;;2;2;;2.99;2.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1098794;;;1;0;;;;0;;V001F879EE4D881D95386B5B70CE077F54FEF2;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;9161;f;;;;;752;;0;0;;0;100;0;;2;f;;f;f;f;
4099;7891991294263;7891991294263;CERV BECKS PURO MALTE PURITY LAW LT 350ML;CERV BECKS PURO MALT 350ML;753;;2;2;;7.29;7.29;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1058105;;;1;0;;;;0;;V001F8D6D1575D49A9B41BDC1DCFD2F198C484;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;4696;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
2779;7896045504831;7896045504831;CERV AMSTEL LAGER LT 350ML;CERV AMSTEL LAGER 350ML;753;;2;2;;5.29;5.29;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;138889;;;1;0;;;;0;;V0014B18E47574B5F6F1BA39C2B58B5392BA40;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;3060;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
776;7891149104932;7891149104932;CERV BRAHMA CHOPP ZERO LT 350ML;CERV BRAHMA CHOPP ZER 350ML;753;207;2;2;;5.99;5.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;88624;;;1;0;;;;0;;V001BC2342587849489D34A4E339DD81CF2E88;t;f;301300;t;f;f;f;;;f;0;0;0;0;UN;;437;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
5235;7891991297424;7891991297424;CERV SPATEN MUNICH PURO MALTE LT 350ML;CERV SPATEN MUN PUR MALT 350ML;753;;2;2;;5.99;5.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1076738;;;1;0;;;;0;;V001BAE8178FE054FE5FBBB019474697B1B0AF;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;6059;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
2429;7898915949209;7898915949209;CERV IMPERIO PURO MALTE LT 350ML;CERV IMP PUR MALT 350M;753;;2;2;;4.59;4.59;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;172216;;;1;0;;;;0;;V00165C9896A7C118A874CCD98A99838F55992;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;7856;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
6656;7896045506873;7896045506873;CERV HEINEKEN ORIGINAL LT 350ML;CERV HEINEKEN ORIG 350ML.;753;;2;2;;7.99;7.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1100948;;;1;0;;;;0;;V0013701B397A599848038041B32A56F7BF563;t;f;301200;t;f;f;f;;;f;0;0;0;0;UN;;9032;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
1397;7891149101528;7891149101528;CERV BRAHMA MALZBIER LT 350ML;CV BRAHMA MALZ LT 350ML;753;;2;2;;6.99;6.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;16926;;;1;0;;;;0;;V001C9629B8DFDF9F623501CBCDEB6DF4EFAA4;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;1154;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
360;7897395060107;7897395060107;CERV CRYSTAL PILSEN LT 350ML;CV CRYSTAL LT 350ML;753;222;2;2;;3.79;3.79;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;14537;;;1;0;;;;0;;V001A1908366EFE6C7ABDA0B913C890C695712;t;f;301200;t;f;f;f;;;f;0;0;0;0;UN;;447;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
359;7897395020101;7897395020101;CERV ITAIPAVA PILSEN LT 350ML;CERV ITAIPAVA 350ML;753;222;2;2;;3.99;3.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;6373;;;1;0;;;;0;;V001D2381D093582194C9686672FF143C9B981;t;f;301200;t;f;f;f;;;f;0;0;0;0;UN;;449;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
